paragraph,image,is_code,category,section,title,url,video_urls
Puedes acceder al panel de Copernico a través dehttps://nombredetuempresa.app.copernico.cloud. Introduce tu email y contraseña y haz clic en el botón de «Iniciar sesión».,,False,Copernico,Primeros pasos,Acceso al panel de Copernico,https://wiki.timingsense.com/hc/es/articles/10362265997853-Acceso-al-panel-de-Copernico,['https://www.youtube-nocookie.com/embed/aTKIiZmFi3s']
💡 Para acceder a Copérnico primero debemos haber activado tu cuenta. El acceso está limitado a clientes.¿Quieres utilizar Copernico?Ponte en contacto con nosotros.,https://timingsense.com/wp-content/uploads/2019/02/135.2-es-1024x547.png,False,Copernico,Primeros pasos,Acceso al panel de Copernico,https://wiki.timingsense.com/hc/es/articles/10362265997853-Acceso-al-panel-de-Copernico,['https://www.youtube-nocookie.com/embed/aTKIiZmFi3s']
Puedes crear usuarios de Copérnico para que estos también accedan al dashboard y gestionen todas las carreras de tu empresa.,,False,Copernico,Primeros pasos,Creación de usuarios en Copernico,https://wiki.timingsense.com/hc/es/articles/10362291876765-Creaci%C3%B3n-de-usuarios-en-Copernico,[]
Haz clic en «Usuarios» en el menú lateral izquierdo. · Rellena el nombre del usuario y el email. · Haz clic en el botón «+ Añadir»,https://timingsense.com/wp-content/uploads/2019/07/179.2-es-1024x298.png,False,Copernico,Primeros pasos,Creación de usuarios en Copernico,https://wiki.timingsense.com/hc/es/articles/10362291876765-Creaci%C3%B3n-de-usuarios-en-Copernico,[]
El usuario recibirá una invitación por email con un enlace. A través de ese enlace podrá elegir su contraseña de usuario y acceder al panel de Copérnico de tu empresa.,,False,Copernico,Primeros pasos,Creación de usuarios en Copernico,https://wiki.timingsense.com/hc/es/articles/10362291876765-Creaci%C3%B3n-de-usuarios-en-Copernico,[]
Puedes borrar cualquier usuario creado haciendo clic en el icono de la papelera.,https://timingsense.com/wp-content/uploads/2019/07/179.3-es-1024x199.png,False,Copernico,Primeros pasos,Creación de usuarios en Copernico,https://wiki.timingsense.com/hc/es/articles/10362291876765-Creaci%C3%B3n-de-usuarios-en-Copernico,[]
Este glosario de términos te ayudará en la preparación previa al día de la prueba:,,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Carrera:Es el conjunto de pruebas a cronometrar que suceden en el intervalo de tiempo indicado al crear la carrera. Por ejemplo “Los 101Kms de Ronda” incluye varias competiciones a pie, un duatlón…",,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Evento:Es cada una de las competiciones diferentes entre sí que componen una carrera. Esto puede diferenciarse por distancia recorrida, tipos de participantes o cualquier circunstancia que haga que unos participantes no puedan aparecer en la misma clasificación que los de otro. Los participantes de la marcha a pie y de la modalidad ciclista de los 101 de Ronda no compartirán clasificación jamás.",,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
Localización:Es el nombre del punto donde se van a instalar uno o más equipos de cronometraje.,,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Punto de control:Es cada punto de toma de tiempos que vamos a necesitar para recopilar la información de cronometraje. Por ejemplo en un 10k puede haber Salida, 5k y Meta.",,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Tramo:es un segmento dentro el evento que utilizaremos para el cálculo de tiempos y de posiciones. En un evento, siempre tiene que existir un tramo desde un punto de control de tipo salida hasta un punto de control de tipo meta. Puedes crear tantos tramos como sean necesarios para el cronometraje de un evento.",,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Diferencia entre Localización y Punto de control:Puede que una misma localización tenga 2 o más puntos de control. Por ejemplo, en el mismo 10k, si dan una vuelta pasarían 2 veces por el 5k y sería la misma localización pero distinto punto de control: primero sería el punto 5K con localización Meta, y en el segundo paso sería Meta con localización Meta. El nombre de la localización es a elección, por ejemplo, el nombre del lugar (Somport, Avda Francia…).",,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Tiempos RAW: horas de paso por cada una de las localizaciones. La tabla RAW tiene los siguientes datos: código de chip, fecha y hora de creación, fecha y hora de paso, equipo que lo ha registrado y localización.",,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Tiempos del Punto:todo aquel tiempo raw que se ha procesado para convertirse en un tiempo de punto de control. Procesar, es aplicar todas las características de una determinada localización (tiempos mínimos y máximos, vueltas..).",,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Tiempos de tramo:Es el tiempo transcurrido entre 2 puntos de control. Copérnico utilizará este tiempo para el cálculo de posiciones en el tramo. Por ejemplo, en un triatlón existirán estos tramos y tiempos de tramo: Swim, Transición 1, Bike, Transición 2, Run y un tramo que vaya desde la Salida a Meta. Los tiempos de cada tramo se usan para calcular las clasificaciones. Por lo tanto, si queremos hacer una clasificación, por ejemplo, del 5K en una carrera de 10K, tendremos que crear un tramo que vaya desde la Salida al punto 5K.",,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
Salida:Es el nombre que le damos a la hora de salida de un grupo de participantes. En un evento puede haber 1 o varias salidas y cada participante llevará una única salida asociada.,,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Categoría:Es la diferenciación por edades entre los participantes. Por ejemplo senior, Veterano, etc… Se usa para obtener clasificaciones por grupos de edad.",,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Atributo:Este concepto es muy importante entenderlo ya que te ayudará a generar clasificaciones especiales como de locales, federados, etc…Es cualquier valor específico que le podemos atribuir a cualquier participante para que participe en una clasificación especial. Ejemplos de esto sería Local= Sí, o Profesional= Bombero, Médico, Policía… Copérnico calculará clasificaciones completas por tramo de cada valor en cada atributo que se defina en la carrera.",,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Equipo:Es una agrupación de participantes según el criterio que establezcamos, no tiene por qué coincidir con el club de pertenencia. Copérnico calculará clasificaciones por equipos.",,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Trofeos:Son los criterios de entrega de premios a los participantes ganadores. Se visualizarán en las APPs Live y se pueden obtener documentos de entrega de trofeos, además de otras funciones.",,False,Copernico,Primeros pasos,Glosario y terminología común,https://wiki.timingsense.com/hc/es/articles/10362294146461-Glosario-y-terminolog%C3%ADa-com%C3%BAn,[]
"Cambiar una carrera para cronometrar utilizando el Cloud V2 es muy sencillo. Simplemente tienes que ir a la página de configuración de carrera y, en el selector de versión de Cloud selecciona la versión V2.",https://wiki.timingsense.com/hc/article_attachments/28201831410333,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
Esta acción tiene varias consecuencias:,,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
Se muestra una nueva pestaña en la que se permite la configuración de dispositivos en la carrera. En el siguienteenlace puedes consultar como se configuran.,https://wiki.timingsense.com/hc/article_attachments/28201815464861,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
"En el menú lateral derecho, existen dos botones para consultar y rebobinar los dispositivos de la carrera. En el botón de arriba se consultan los dispositivos conectados a Cloud V1 y, en el botón de debajo, se muestran los dispositivos conectados en Cloud V2.Hasta que Cloud V1 ""se apague"" se podrá cronometrar con dispositivos conectados en Cloud V1 y otros conectados en Cloud V2.",,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
"En el menú lateral derecho, existen dos botones para consultar y rebobinar los dispositivos de la carrera. En el botón de arriba se consultan los dispositivos conectados a Cloud V1 y, en el botón de debajo, se muestran los dispositivos conectados en Cloud V2.",,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
"Hasta que Cloud V1 ""se apague"" se podrá cronometrar con dispositivos conectados en Cloud V1 y otros conectados en Cloud V2.",https://wiki.timingsense.com/hc/article_attachments/28201831417629,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
,https://wiki.timingsense.com/hc/article_attachments/28201815468445,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
En el siguienteenlace puedes consultarque significa el código de colores en los dispositivos.,,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
"En el panel de control se hará visible un nuevo widget ""Cloud V2"" en el que podrás visualizar los dispositivos conectados a través de Cloud V2.",https://wiki.timingsense.com/hc/article_attachments/28202652129821,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
"¡Atención! Este widget, por defecto, aplica un filtro de dispositivos activos que mostrará únicamente aquellos configurados dentro del rango temporal en el que se esté visualizando. Por ejemplo, si consultas el widget ahora pero no tienes ningún dispositivo configurado hasta mañana, el widget con el filtro activo no mostrará ningún dispositivo.",,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
"Además,como recordatorio,ahora existen periodos de exportación de lecturas: desde y hasta cuando cada uno de los dispositivos está exportando lecturas de Cloud V2 a la carrera en la que se va a cronometrar o se está cronometrando.",,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
Tanto en la configuración de la carrera:,https://wiki.timingsense.com/hc/article_attachments/28202652130845,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
Como en los dispositivos:,https://wiki.timingsense.com/hc/article_attachments/28202668093725,False,Copernico,Configuración de la carrera,Cómo cambiar copernico para el cronometraje en Cloud V2,https://wiki.timingsense.com/hc/es/articles/28161914060061-C%C3%B3mo-cambiar-copernico-para-el-cronometraje-en-Cloud-V2,[]
En el siguiente vídeo te explicamos como hacerlo.,,False,Copernico,Configuración de la carrera,¿Cómo importar variables presonalizadas de otra carrera?,https://wiki.timingsense.com/hc/es/articles/25128960435997--C%C3%B3mo-importar-variables-presonalizadas-de-otra-carrera,['https://www.youtube-nocookie.com/embed/b0c4xzc5BWM']
Creación y uso de variables personalizadas,,False,Copernico,Configuración de la carrera,¿Cómo importar variables presonalizadas de otra carrera?,https://wiki.timingsense.com/hc/es/articles/25128960435997--C%C3%B3mo-importar-variables-presonalizadas-de-otra-carrera,['https://www.youtube-nocookie.com/embed/b0c4xzc5BWM']
"Copérnico nos permite crear variables personalizadas para utilizarlas en los documentos de nuestras carreras. Si no sabe cómo crear variables personalizadas,haga clic el siguiente enlace.",,False,Copernico,Configuración de la carrera,¿Cómo importar variables presonalizadas de otra carrera?,https://wiki.timingsense.com/hc/es/articles/25128960435997--C%C3%B3mo-importar-variables-presonalizadas-de-otra-carrera,['https://www.youtube-nocookie.com/embed/b0c4xzc5BWM']
Importación de variables,,False,Copernico,Configuración de la carrera,¿Cómo importar variables presonalizadas de otra carrera?,https://wiki.timingsense.com/hc/es/articles/25128960435997--C%C3%B3mo-importar-variables-presonalizadas-de-otra-carrera,['https://www.youtube-nocookie.com/embed/b0c4xzc5BWM']
"Se pueden importar variables personalizadas de otra carrera tanto presente como pasada, al crear o editar otra carrera. Para ello solo hay que pulsar sobre importar y podemos seleccionar la carrera.",,False,Copernico,Configuración de la carrera,¿Cómo importar variables presonalizadas de otra carrera?,https://wiki.timingsense.com/hc/es/articles/25128960435997--C%C3%B3mo-importar-variables-presonalizadas-de-otra-carrera,['https://www.youtube-nocookie.com/embed/b0c4xzc5BWM']
Es posible realizar una búsqueda por nombre para encontrar la carrera desde la cual queremos importar estas variables personalizadas.,,False,Copernico,Configuración de la carrera,¿Cómo importar variables presonalizadas de otra carrera?,https://wiki.timingsense.com/hc/es/articles/25128960435997--C%C3%B3mo-importar-variables-presonalizadas-de-otra-carrera,['https://www.youtube-nocookie.com/embed/b0c4xzc5BWM']
Puedes ver una explicación más amplia del funcionamiento en Cloud 2 en el siguiente vídeo:,,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
Para configurar un dispositivo en una localización hay que tener en cuenta que existen rangos temporales.,,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
Este rango temporal también afectará a la visibilidad de los dispositivos activos o no en la localización.,,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
Existen 3 niveles para el rango temporal:,,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
Rango temporal para toda la carrera:se configurará desde la página de carrera: · Rango temporal para toda la carrera:se configurará desde la página de carrera:,,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
Rango temporal para toda la carrera:se configurará desde la página de carrera:,https://wiki.timingsense.com/hc/article_attachments/23592222776733,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
"Rango temporal para una localizacióndeterminada. Se configura desde el apartado de dispositivos, pulsando sobre botón del lápiz en la localización determinada. Nota: hasta que no existe un dispositivo en la localización no se puede editar. Afectará a todos los dispositivos de esa localización. · Rango temporal para una localizacióndeterminada. Se configura desde el apartado de dispositivos, pulsando sobre botón del lápiz en la localización determinada. Nota: hasta que no existe un dispositivo en la localización no se puede editar. Afectará a todos los dispositivos de esa localización.",,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
"Rango temporal para una localizacióndeterminada. Se configura desde el apartado de dispositivos, pulsando sobre botón del lápiz en la localización determinada. Nota: hasta que no existe un dispositivo en la localización no se puede editar. Afectará a todos los dispositivos de esa localización.",https://wiki.timingsense.com/hc/article_attachments/23592222780061,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
,https://wiki.timingsense.com/hc/article_attachments/23592222784157,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
"Rango temporal para un dispositivodeterminado. En este nivel podrás decidir que un equipo sólo este visible y exportando durante un determinado rango de tiempo. Se configura desde el apartado de dispositivos, pulsando sobre botón del lápiz en el dispositivo. Nota: hasta que no el dispositivo no está asociado a una localización no se puede editar. · Rango temporal para un dispositivodeterminado. En este nivel podrás decidir que un equipo sólo este visible y exportando durante un determinado rango de tiempo. Se configura desde el apartado de dispositivos, pulsando sobre botón del lápiz en el dispositivo. Nota: hasta que no el dispositivo no está asociado a una localización no se puede editar.",,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
"Rango temporal para un dispositivodeterminado. En este nivel podrás decidir que un equipo sólo este visible y exportando durante un determinado rango de tiempo. Se configura desde el apartado de dispositivos, pulsando sobre botón del lápiz en el dispositivo. Nota: hasta que no el dispositivo no está asociado a una localización no se puede editar.",https://wiki.timingsense.com/hc/article_attachments/23592218992925,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
,https://wiki.timingsense.com/hc/article_attachments/23592222790557,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
Durante el periodo que está configurado el dispositivo en una localización:,,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
Enviará todas las lecturas recibidas a la localización en la que se encuentre configurado. · Se mostrará en el widget de dispositivos como conectado. · En el apartado de dispositivos en el menú lateral derecho mostrará el icono en verde.,,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
"Cambios que se tienen que tener en cuente en el widget de dispositivos de Cloud 2 en el Dashboard. Desde la rueda de configuración, además del filtrado por evento y por localización se permite el filtrado de:",,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
"Dispositivos activos:aquellos que tienen la exportación activa, es decir, que el rango de horas configurado está dentro de la hora en la que estás visualizando la información.",https://wiki.timingsense.com/hc/article_attachments/27772635251997,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
,https://wiki.timingsense.com/hc/article_attachments/27772610625181,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
Todos los Dispositivos:se mostrarán todos los dispositivos configurados en la carrera. Siempre teniendo en cuenta que cumplen con los demás filtros.,https://wiki.timingsense.com/hc/article_attachments/27772610625309,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
"El funcionamiento sigue siendo como hasta ahora, se mostrarán los dispositivos conectados en negrita.",,False,Copernico,Configuración de la carrera,Cómo configurar los dispositivos en copernico utilizando Cloud 2,https://wiki.timingsense.com/hc/es/articles/23590890676125-C%C3%B3mo-configurar-los-dispositivos-en-copernico-utilizando-Cloud-2,"['https://www.youtube-nocookie.com/embed/Cqui9B-Hxug', 'https://www.youtube-nocookie.com/embed/gguF_lKfM2Q']"
